iter	RMSE
593	0.6544901254
594	0.6544709517
595	0.6543825861
596	0.6543777857
597	0.6542289315
598	0.6540702639
599	0.6539645969
600	0.6537873187
601	0.6536416916
602	0.6535232538
603	0.6533826495
604	0.6533084621
605	0.6531933776
606	0.6530914316
607	0.6530781981
608	0.6529703266
609	0.6528766224
610	0.6527605393
611	0.6526085977
612	0.6524617845
613	0.6523075526
614	0.6522197175
615	0.6520771349
616	0.6519971322
617	0.6518481089
618	0.651730469
619	0.6515670963
620	0.6514806353
621	0.6513038805
622	0.6511954652
623	0.651097256
624	0.650986581
625	0.6508811886
626	0.6507618482
627	0.6506641239
628	0.6505760168
629	0.6504708581
630	0.6503012623
631	0.650165694
632	0.6501092406
633	0.6499569797
634	0.6498182839
635	0.6497304128
636	0.6495918941
637	0.6494874281
638	0.6493378538
639	0.6491800969
640	0.6490332605
641	0.6489476909
642	0.6488682555
643	0.648724585
644	0.6486528257
645	0.6485718987
646	0.6484653357
647	0.6483492912
648	0.6482406579
649	0.6481448637
650	0.6480083168
651	0.6479000534
652	0.647795817
653	0.647680909
654	0.6475910389
655	0.6475297361
656	0.647391199
657	0.6472288434
658	0.647138483
659	0.6470060254
660	0.6468626458
661	0.6467418341
662	0.6466277204
663	0.6464544476
664	0.6463678316
665	0.646269745
666	0.6461422984
667	0.6461382681
668	0.6460301195
669	0.6460244257
670	0.6459175936
671	0.6457592531
672	0.645594319
673	0.6454922318
674	0.6453843029
675	0.645267225
676	0.6451428348
677	0.6450407267
678	0.6449185389
679	0.6447864836
680	0.6447321089
681	0.6446262241
682	0.6445271149
683	0.6444125838
684	0.6443082885
685	0.6441947543
686	0.6441077333
687	0.6439983087
688	0.6438491277
689	0.6437183447
690	0.6435855625
691	0.6434832325
692	0.6433408388
693	0.6431843945
694	0.6431804469
695	0.6431606323
696	0.6430824816
697	0.642947467
698	0.6428363004
699	0.6427083249
700	0.6426147707
701	0.6424551855
702	0.642315706
703	0.6421979673
704	0.6420811702
705	0.6419839245
706	0.6418232442
707	0.6417202274
708	0.6416349762
709	0.6415480139
710	0.641460304
711	0.6413361398
712	0.6412755081
713	0.6411726826
714	0.6410922838
715	0.6410062636
716	0.6409160162
717	0.6408618465
718	0.6407567954
719	0.6406466206
720	0.6406418951
721	0.6405289308
722	0.6405249922
723	0.6403724858
724	0.6402594486
725	0.6401522138
726	0.6400788831
727	0.6399902343
728	0.6398955959
729	0.639817021
730	0.6396091285
731	0.639490586
732	0.6393789966
733	0.6392987033
734	0.6391465409
735	0.6390347131
736	0.6389008812
737	0.6387611351
738	0.6386539291
739	0.638511376
740	0.6385072975
741	0.6383760321
742	0.6382807209
743	0.6381833296
744	0.6381787135
745	0.6380435795
746	0.6379566379
747	0.6378343945
748	0.6377713883
749	0.6376999533
750	0.6375421248
751	0.6374396928
752	0.6373127023
753	0.6372198884
754	0.637099062
755	0.6369510504
756	0.6368882635
757	0.6368017009
758	0.6367219261
759	0.6366065277
760	0.636502104
761	0.6363904253
762	0.6362893683
763	0.6361487927
764	0.6360322667
765	0.6358879741
766	0.6357766228
767	0.6356370093
768	0.6355446166
769	0.6353990093
770	0.6352608245
771	0.6351350896
772	0.6350610258
773	0.6349858512
774	0.6348624205
775	0.6347124513
776	0.6346217193
777	0.6344992694
778	0.6344299289
779	0.6343361287
780	0.6342780098
781	0.6341813128
782	0.6340879893
783	0.6339902877
784	0.6338394702
785	0.633788522
786	0.6336893359
787	0.6335656783
788	0.6334836205
789	0.6333922756
790	0.6332628799
791	0.633132995
792	0.6331008345
793	0.6329790933
794	0.6328998139
795	0.6327612634
796	0.6326734415
797	0.6325700667
798	0.6324816265
799	0.632411833
