iter	Passed	Remaining
691	5798	10960
692	5804	10946
693	5809	10933
694	5814	10918
695	5819	10903
696	5824	10889
697	5830	10875
698	5835	10861
699	5841	10848
700	5846	10834
701	5852	10821
702	5857	10807
703	5863	10793
704	5868	10780
705	5874	10766
706	5879	10753
707	5885	10739
708	5893	10730
709	5898	10716
710	5903	10702
711	5909	10689
712	5914	10675
713	5919	10661
714	5924	10648
715	5930	10634
716	5935	10621
717	5940	10607
718	5946	10593
719	5951	10580
720	5956	10566
721	5961	10553
722	5967	10539
723	5972	10526
724	5980	10517
725	5991	10513
726	6002	10511
727	6013	10506
728	6023	10501
729	6028	10488
730	6034	10476
731	6040	10463
732	6045	10450
733	6051	10437
734	6056	10424
735	6062	10411
736	6068	10399
737	6073	10386
738	6079	10373
739	6085	10361
740	6090	10347
741	6095	10334
742	6101	10321
743	6106	10308
744	6111	10295
745	6117	10282
746	6122	10269
747	6128	10257
748	6133	10244
749	6138	10231
750	6144	10218
751	6149	10206
752	6155	10193
753	6160	10181
754	6166	10168
755	6171	10156
756	6177	10143
757	6182	10130
758	6188	10118
759	6193	10105
760	6199	10092
761	6204	10080
762	6209	10067
763	6215	10055
764	6220	10042
765	6226	10030
766	6232	10018
767	6237	10006
768	6243	9994
769	6249	9982
770	6254	9969
771	6260	9958
772	6265	9945
773	6271	9933
774	6276	9921
775	6282	9909
776	6288	9897
777	6293	9885
778	6299	9873
779	6304	9861
780	6310	9848
781	6315	9836
782	6321	9824
783	6326	9813
784	6332	9801
785	6337	9788
786	6343	9777
787	6349	9765
788	6354	9753
789	6359	9741
790	6365	9729
791	6371	9717
792	6376	9705
793	6382	9693
794	6387	9681
795	6393	9670
796	6398	9658
797	6404	9646
798	6409	9634
799	6415	9622
800	6420	9611
801	6426	9599
802	6431	9587
803	6437	9575
804	6442	9564
805	6448	9552
806	6453	9540
807	6459	9528
808	6464	9517
809	6470	9505
810	6475	9493
811	6480	9481
812	6486	9470
813	6491	9458
814	6497	9446
815	6502	9435
816	6508	9423
817	6513	9412
818	6519	9400
819	6524	9389
820	6530	9378
821	6536	9366
822	6541	9355
823	6546	9343
824	6552	9332
825	6557	9320
826	6563	9309
827	6568	9297
828	6573	9285
829	6579	9275
830	6585	9264
